"","Period","Actual","Prediction","Error"
"1","2000-Q1",57,56.9448846260725,0.0551153739274852
"2","2000-Q2",61.3,59.6695267883385,1.63047321166146
"3","2000-Q3",58.5,61.7645585695087,-3.26455856950871
"4","2000-Q4",57.8,58.2682081625051,-0.468208162505114
"5","2001-Q1",60.9,62.5226147759858,-1.62261477598577
"6","2001-Q2",64.3,64.6138657425251,-0.313865742525124
"7","2001-Q3",61.5,63.9255660034269,-2.42556600342686
"8","2001-Q4",59.5,61.393810487951,-1.893810487951
"9","2002-Q1",63.6,64.030023935096,-0.430023935096038
"10","2002-Q2",68.8,67.8382390528657,0.96176094713428
"11","2002-Q3",71.8,68.4447022801606,3.35529771983936
"12","2002-Q4",68.6,71.7933415400687,-3.19334154006866
"13","2003-Q1",72.6,71.026683348841,1.57331665115895
"14","2003-Q2",78.7,77.5416278305607,1.15837216943932
"15","2003-Q3",80.9,79.6968961183504,1.20310388164958
"16","2003-Q4",82.8,79.7717617065899,3.02823829341008
"17","2004-Q1",84.5,85.7561059501391,-1.2561059501391
"18","2004-Q2",90.8,88.0240563546957,2.77594364530434
"19","2004-Q3",93.2,92.5108111741451,0.689188825854885
"20","2004-Q4",93.3,92.7896858906321,0.510314109367926
"21","2005-Q1",91.6,95.2837295122485,-3.68372951224853
"22","2005-Q2",99.1,94.8404989727998,4.25950102720023
"23","2005-Q3",103,102.759881101908,0.240118898092391
"24","2005-Q4",105,102.258529258196,2.74147074180382
"25","2006-Q1",99.7,105.686607876083,-5.98660787608304
"26","2006-Q2",109.7,102.182595941292,7.51740405870784
"27","2006-Q3",115.8,115.900161936551,-0.100161936551331
"28","2006-Q4",117,114.619278784329,2.38072121567109
"29","2007-Q1",115.3,115.345917530906,-0.0459175309064932
"30","2007-Q2",124.1,119.416161994276,4.68383800572386
"31","2007-Q3",129.3,130.097632440458,-0.797632440457875
"32","2007-Q4",129.1,127.352978890136,1.74702110986351
"33","2008-Q1",126.8,127.766320606203,-0.966320606202814
"34","2008-Q2",133.9,131.668366850675,2.23163314932532
"35","2008-Q3",137.4,139.434427111851,-2.03442711185136
"36","2008-Q4",126.4,135.310753087249,-8.91075308724939
"37","2009-Q1",107.2,124.027746415081,-16.8277464150812
"38","2009-Q2",115.3,112.803503876677,2.49649612332298
"39","2009-Q3",123.2,126.831446954198,-3.63144695419841
"40","2009-Q4",125.5,119.889707364828,5.61029263517186
"41","2010-Q1",127.7,120.551871227514,7.14812877248563
"42","2010-Q2",136.8,134.160568765558,2.63943123444156
"43","2010-Q3",145.4,143.219087277673,2.18091272232655
"44","2010-Q4",140.6,142.3951645307,-1.79516453069979
"45","2011-Q1",140,137.339391877214,2.66060812278565
"46","2011-Q2",148.4,147.669565051561,0.730434948439125
"47","2011-Q3",155.9,154.271246954693,1.62875304530681
"48","2011-Q4",150.8,152.273416513349,-1.47341651334941
"49","2012-Q1",147.8,148.303413038567,-0.503413038567373
"50","2012-Q2",154.2,155.379241559967,-1.17924155996664
"51","2012-Q3",162.1,160.013666276938,2.08633372306247
"52","2012-Q4",158.2,159.241323940969,-1.04132394096905
"53","2013-Q1",151.5,155.668496955545,-4.16849695554473
"54","2013-Q2",159.5,157.577166121975,1.92283387802507
"55","2013-Q3",169,167.084846704994,1.91515329500578
"56","2013-Q4",164.4,166.503856346024,-2.1038563460236
"57","2014-Q1",159.8,160.05515097151,-0.255150971509636
"58","2014-Q2",168.9,166.605234819456,2.29476518054443
"59","2014-Q3",178.9,177.009547336558,1.89045266344203
"60","2014-Q4",172.7,175.581249219279,-2.88124921927886
"61","2015-Q1",161.6,167.754117966526,-6.15411796652614
"62","2015-Q2",169.5,168.408102444509,1.09189755549119
"63","2015-Q3",178.9,179.821743619227,-0.921743619227158
"64","2015-Q4",173.5,175.403417408133,-1.90341740813278
"65","2016-Q1",166.6,167.528240299123,-0.92824029912299
"66","2016-Q2",176.9,174.21253107445,2.68746892555023
"67","2016-Q3",178.7,186.802976878018,-8.10297687801841
"68","2016-Q4",179.1,172.694810215722,6.40518978427792
"69","2017-Q1",180,177.308346658471,2.69165334152919
"70","2017-Q2",188.1,187.885154008147,0.214845991852741
"71","2017-Q3",190.3,192.479317475016,-2.17931747501561
"72","2017-Q4",188.3,186.005420116406,2.29457988359354
"73","2018-Q1",191.4,189.088106969408,2.3118930305925
"74","2018-Q2",195.6,198.827535869469,-3.22753586946908
"75","2018-Q3",196.4,197.07394887147,-0.673948871470458
"76","2018-Q4",195.6,193.963776042507,1.63622395749275
"77","2019-Q1",NA,198.489162391852,NA
"78","2019-Q2",NA,203.907763407398,NA
"79","2019-Q3",NA,204.747827327742,NA
"80","2019-Q4",NA,203.326854085391,NA
